# Time-averaged data for fix myat2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
50000 200
157 11.7375 10.4246 2.59411 6.27957 55.9542 8.94202 3.49856
158 11.8125 11.1133 2.64526 6.25437 56.7767 8.74522 3.53997
159 11.8875 11.5754 2.69922 6.23582 57.6072 8.6555 3.58147
160 11.9625 10.9423 2.75087 6.27037 58.4529 8.892 3.62464
161 12.0375 11.5677 2.80617 6.24491 59.3057 8.96093 3.66869
162 12.1125 10.7619 2.85825 6.22647 60.1667 8.81543 3.71258
163 12.1875 10.5052 2.90972 6.22319 61.0379 8.62458 3.75604
164 12.2625 9.97665 2.95921 6.16837 61.9121 8.46496 3.79923
165 12.3375 9.98573 3.00935 6.11437 62.7892 8.30857 3.84214
166 12.4125 10.7891 3.06418 6.09647 63.6745 7.82986 3.88307
167 12.4875 10.7571 3.11951 6.09566 64.5703 7.55496 3.92304
168 12.5625 11.232 3.17799 6.07319 65.4737 7.32625 3.96227
169 12.6375 10.7379 3.23456 6.02886 66.3811 7.05885 4.00052
170 12.7125 10.3093 3.28951 6.00699 67.2961 6.86942 4.03819
171 12.7875 9.77164 3.34222 5.97373 68.2167 6.51496 4.07433
172 12.8625 10.0779 3.39722 5.98354 69.1497 6.63591 4.11158
173 12.9375 8.3515 3.44333 6.01813 70.0991 6.69126 4.14958
174 13.0125 7.43244 3.48485 5.99365 71.0556 7.0483 4.19008
175 13.0875 6.70346 3.52272 5.88953 72.0063 6.75385 4.22933
176 13.1625 6.44988 3.55958 5.82762 72.9579 6.7279 4.26887
177 13.2375 5.82676 3.59326 5.7796 73.9124 6.7827 4.3092
178 13.3125 5.13408 3.62328 5.71225 74.8665 6.57368 4.34873
179 13.3875 5.08846 3.65336 5.67766 75.8256 6.4968 4.38824
180 13.4625 4.95526 3.68299 5.6286 76.787 6.67871 4.42931
181 13.5375 4.89591 3.71258 5.59479 77.7534 6.45526 4.46944
182 13.6125 4.36949 3.73929 5.58091 78.728 7.11996 4.51421
183 13.6875 4.66109 3.7681 5.62351 79.721 7.61351 4.5626
184 13.7625 5.02612 3.7995 5.61436 80.7232 7.7566 4.61245
185 13.8375 4.77828 3.82968 5.55093 81.7249 7.77857 4.66299
186 13.9125 5.16631 3.86267 5.5166 82.7313 7.94449 4.71516
187 13.9875 5.27246 3.89669 5.49157 83.7439 7.825 4.7671
188 14.0625 5.30153 3.93128 5.50275 84.7695 7.69518 4.81874
189 14.1375 5.69414 3.96882 5.48559 85.8028 7.27684 4.86808
190 14.2125 5.30903 4.00419 5.49806 86.8495 7.20835 4.91749
191 14.2875 5.32976 4.04008 5.43122 87.8945 6.94437 4.96558
192 14.3625 5.77839 4.0794 5.41179 88.9466 6.45928 5.01079
193 14.4375 5.93869 4.12024 5.4292 90.0132 6.34226 5.05565
194 14.5125 6.21332 4.1634 5.41455 91.088 5.63646 5.09592
195 14.5875 6.30393 4.20765 5.4408 92.1791 5.56711 5.13612
196 14.6625 7.81419 4.26307 5.46401 93.2863 5.0876 5.17323
