# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11]
50000 200
183 13.6875 2.61109 3.95883 1.73235 39.8293 1.64305 3.85287 1.5664 84.7271 1.11177 50.4089
184 13.7625 2.53537 4.00794 1.71763 40.254 1.54646 3.88346 1.60977 86.3058 1.11932 51.5066
185 13.8375 2.39464 4.05482 1.69587 40.6779 1.47036 3.91286 1.62201 87.914 1.12594 52.623
186 13.9125 2.39626 4.10225 1.69862 41.107 1.55349 3.94426 1.66579 89.5835 1.13051 53.756
187 13.9875 2.279 4.14784 1.70576 41.5427 1.5718 3.97638 1.68461 91.2902 1.13416 54.905
188 14.0625 2.29545 4.19426 1.72072 41.9869 1.55886 4.00857 1.71545 93.0467 1.13755 56.0698
189 14.1375 2.37768 4.24285 1.72074 42.4358 1.49146 4.0397 1.74416 94.8518 1.14177 57.2514
190 14.2125 2.13781 4.28701 1.73548 42.8934 1.45477 4.07039 1.72119 96.652 1.14268 58.4466
191 14.2875 2.11193 4.33109 1.68365 43.3421 1.40705 4.10038 1.72558 98.4759 1.14441 59.6562
192 14.3625 2.14623 4.37636 1.66758 43.7911 1.41512 4.13086 1.76116 100.357 1.14709 60.8815
193 14.4375 2.10005 4.42112 1.64427 44.2385 1.49664 4.16344 1.77621 102.274 1.15168 62.1245
194 14.5125 2.17223 4.46791 1.65327 44.693 1.53899 4.19729 1.77383 104.209 1.15416 63.3832
195 14.5875 2.33187 4.51865 1.64779 45.1508 1.52672 4.23122 1.75428 106.142 1.15589 64.6568
196 14.6625 2.13559 4.56559 1.64156 45.6114 1.65845 4.26845 1.76082 108.102 1.16018 65.9483
197 14.7375 2.14206 4.61317 1.60652 46.0669 1.55619 4.30375 1.76055 110.082 1.16302 67.2563
198 14.8125 2.29221 4.66459 1.61455 46.5294 1.55616 4.33941 1.76685 112.089 1.16709 68.5822
199 14.8875 2.37396 4.7184 1.6148 46.9965 1.59498 4.37632 1.74929 114.097 1.17014 69.9251
200 14.9625 2.35068 4.77221 1.6247 47.4714 1.62447 4.4143 1.752 116.128 1.1739 71.2859
100000 200
1 0.0375 0 0 0 0 0 0 0 0 0 0
2 0.1125 0 0 0 0 0 0 0 0 0 0
3 0.1875 0 0 0 0 0 0 0 0 0 0
4 0.2625 0 0 0 0 0 0 0 0 0 0
5 0.3375 0 0 0 0 0 0 0 0 0 0
6 0.4125 0 0 0 0 0 0 0 0 0 0
7 0.4875 0 0 0 0 0 0 0 0 0 0
